区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,东花市北里中区 ,2室2厅,103.41,1030,99604,房本满五年,南北,简装,无电梯,中楼层(共5层)1994年建板楼,,-
东城,安外西河沿 ,2室1厅,55.11,575,104337,房本满五年,南北,精装,有电梯,低楼层(共11层)1983年建板楼,,-
东城,鼎盛园 ,2室1厅,84.48,630,74574,房本满五年,西,简装,无,中楼层(共11层)2005年建板塔结合,,-
东城,民安小区东直门北中街 ,1室1厅,60.53,680,112341,房本满五年,东,简装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,雍和家园一期 ,3室1厅,171.06,1600,93535,房本满五年,西南,精装,无,中楼层(共16层)2001年建板塔结合,,-
东城,六铺炕 ,2室1厅,58.28,660,113247,房本满五年,西北,精装,有电梯,底层(共16层)1992年建塔楼,,-
东城,豆瓣胡同 ,2室1厅,71.3,980,137448,房本满五年,南北,简装,有电梯,中楼层(共21层)2003年建板楼,,-
东城,东直门内大街 ,3室1厅,71.62,780,108909,,南西,精装,有电梯,低楼层(共16层)2002年建塔楼,,-
东城,景泰东里 ,2室1厅,67.59,500,73976,,南,简装,无,中楼层(共6层)1994年建板楼,,-
东城,金世纪嘉园 ,3室1厅,132.33,1320,99751,,南,简装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,幸福家园一期 ,3室2厅,139.69,1520,108813,,南北,精装,有电梯,低楼层(共12层)2002年建板塔结合,,-
东城,左安浦园 ,2室1厅,62.38,505,80956,,东,精装,有电梯,中楼层(共14层)2004年建板塔结合,,-
东城,宝润苑 ,4室2厅,266.93,1750,65561,房本满五年,东西,简装,有电梯,低楼层(共14层)1999年建板塔结合,,-
东城,新景家园西区 ,2室1厅,93.1,980,105264,房本满五年,西,精装,有电梯,高楼层(共12层)2001年建板塔结合,,-
东城,东直门南大街 ,2室1厅,57.98,550,94861,房本满五年,东北,简装,有电梯,顶层(共18层)1991年建板塔结合,,-
东城,和平新城一期 ,2室1厅,109.38,980,89596,房本满五年,东南,精装,有电梯,中楼层(共19层)2003年建板塔结合,,-
东城,草园胡同 ,2室1厅,63.8,640,100314,房本满五年,东西,简装,无电梯,底层(共6层)1993年建板楼,,-
东城,幸福北里 ,2室1厅,50.76,507,99882,房本满五年,东,精装,无电梯,中楼层(共5层)1990年建板楼,,-
东城,培新街乙5号院 ,2室1厅,75.3,755,100266,房本满五年,东南,简装,有电梯,低楼层(共16层)1999年建板塔结合,,-
东城,东花市北里中区 ,2室1厅,69,620,89856,房本满五年,东西,简装,无电梯,中楼层(共6层)1994年建塔楼,,-
东城,国瑞城中区 ,1室1厅,61.99,670,108082,房本满五年,南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,国瑞城东区 ,1室1厅,60.84,650,106838,房本满五年,南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,民安小区东直门北中街 ,3室1厅,67.17,725,107936,房本满五年,东南西,其他,无电梯,顶层(共6层)1988年建板楼,,-
东城,富贵园三区 ,3室1厅,95.95,930,96926,房本满五年,西南,精装,有电梯,中楼层(共18层)2002年建塔楼,,-
东城,美惠大厦 ,3室2厅,185.18,1160,62642,房本满五年,西,精装,有电梯,高楼层(共15层)1998年建板塔结合,,-
东城,北官厅胡同 ,3室1厅,71.51,893,124878,房本满五年,东南北,精装,有电梯,中楼层(共16层)1993年建塔楼,,-
东城,景泰西里西区 ,1室1厅,60.3,445,73798,房本满五年,南,简装,有电梯,底层(共10层)2004年建板塔结合,,-
东城,天利园 ,2室1厅,73.77,770,104379,房本满五年,东北,精装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,新永外文化用品商城 ,1室1厅,37.3,315,84451,房本满五年,北,精装,有电梯,低楼层(共15层)2007年建板塔结合,,-
东城,西革新里110号院 ,2室1厅,60.27,430,71346,房本满五年,东北,简装,无电梯,低楼层(共6层)1992年建板楼,,-
东城,培新街乙5号院 ,2室1厅,69.03,688,99667,房本满五年,东西北,精装,有电梯,低楼层(共16层)1999年建板塔结合,,-
东城,华府景园 ,2室2厅,102.87,1160,112764,房本满五年,西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,沙滩南巷 ,2室1厅,54.26,600,110579,房本满五年,南北,简装,无,顶层(共5层)1985年建板楼,,-
东城,中海紫御公馆 ,3室2厅,207.38,2590,124892,房本满五年,南北,精装,有电梯,中楼层(共21层)2010年建板塔结合,,-
东城,交道口东大街 ,3室1厅,93.23,1180,126569,房本满五年,南北,简装,有电梯,底层(共12层)2003年建板塔结合,,-
东城,沙子口路50号 ,3室1厅,131.49,830,63123,房本满五年,东南北,简装,有电梯,高楼层(共18层)1998年建塔楼,,-
东城,金鱼池西区 ,4室2厅,143.33,1000,69770,,东北,毛坯,无电梯,中楼层(共6层)2002年建板塔结合,,-
东城,北京上舍 ,4室2厅,202.45,2050,101260,,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
东城,新世界家园 ,2室2厅,123.26,1430,116015,,南北,简装,有电梯,底层(共11层)2004年建板楼,,-
东城,朝阳门内大街 ,1室1厅,40.96,400,97657,,东,其他,无电梯,中楼层(共7层)1999年建板楼,,-
东城,灯市口大街 ,3室1厅,78.09,880,112691,,南,精装,有电梯,中楼层(共11层)1990年建板塔结合,,-
东城,安德路47号院 ,3室1厅,70.17,730,104034,,南北,简装,无电梯,底层(共7层)1989年建板楼,,-
东城,灯市口大街 ,3室1厅,78.09,880,112691,房本满五年,南,精装,有电梯,中楼层(共11层)1990年建板塔结合,,-
东城,和平里一区 ,3室1厅,64.36,643.5,99985,房本满五年,南北,简装,有电梯,低楼层(共11层)1990年建板塔结合,,-
东城,本家润园三期 ,1室1厅,47.86,473,98830,房本满五年,北,精装,有电梯,中楼层(共18层)2005年建塔楼,,-
东城,幸福南里 ,3室1厅,65.44,630,96272,房本满五年,东南北,精装,有电梯,高楼层(共12层)1980年建板塔结合,,-
东城,六铺炕 ,2室1厅,54.38,610,112174,房本满五年,东西,简装,无电梯,中楼层(共6层)1980年建板楼,,-
东城,南弓匠营胡同 ,3室1厅,83.88,1200,143062,房本满五年,南北,简装,无电梯,底层(共6层)2003年建板楼,,-
东城,和平里六区 ,2室1厅,75.46,790,104692,房本满五年,南北,简装,有电梯,中楼层(共18层)1993年建塔楼,,-
